domain_combinations	percentage	number_c	бн				
PF07824.13-PF05925.13-PF03519.15-PF09599.11-PF11441.9	1	17	17	17	17	17	17
PF09676.11-PF09673.11-PF06986.12-PF06834.12	1	16	16	16	16	16	
PF10671.10-PF07419.13-PF07655.14	1	11	11	11	11		
PF05261.12-PF05513.12	1	17	17	17			
PF05135.14-PF05521.12	1	7	7	7			
PF08244.13-PF00251.21	1	7	7	7			
PF08706.12-PF03288.17	1	8	8	8			
PF02738.19-PF01315.23	1	11	11	11			
PF05662.15-PF05658.15	1	6	6	6			
PF06890.13-PF07157.13	1	7	7	7			
PF16535.6-PF06511.12	1	17	17	17			
PF11100.9-PF09679.11	1	16	16	16			
PF17482.3-PF04984.15	1	10	10	10			
PF13728.7-PF07916.12	1	16	16	16			
PF14000.7-PF05354.12	1	9	9	9			
PF09052.11-PF17985.2	1	13	13	13			
PF18607.2-PF08775.11	1	18	18	18			
PF18340.2-PF18272.2	1	17	17	17			
PF13087.7-PF13086.7	1	7	7	7			
PF12293.9-PF11393.9	1	11	11	11			
PF15976.6-PF16967.6	1	8	8	8			
PF13637.7-PF12796.8	1	5	5	5			
PF11650.9-PF11134.9	1	6	6	6			
PF13335.7-PF01078.22	1	5	5	5			
