number_of_domain	frequency
1	12
2	8
3	9
4	5
5	5
6	3
7	7
8	5
9	4
10	6
11	7
12	2
13	4
14	3
15	2
16	4
17	4
18	4
19	3
20	3
21	3
22	3
23	7
24	3
25	4
26	2
27	1
29	5
30	6
31	3
32	3
33	3
34	2
35	2
37	2
38	5
39	1
40	5
41	3
43	1
44	2
45	1
47	1
48	2
49	3
50	3
51	1
54	1
55	1
57	3
58	2
59	1
60	1
61	1
62	2
63	1
64	1
70	1
72	1
73	2
74	2
75	1
77	1
78	3
80	1
82	3
83	1
85	2
86	1
93	1
94	1
96	1
98	1
100	1
103	1
106	1
130	1
150	1
194	1
2771	1
