number_of_domain	frequency_gain	frequency_loss
1	12	12
2	8	7
3	9	5
4	5	6
5	5	5
6	3	9
7	7	6
8	5	7
9	4	5
10	6	7
11	7	0
12	2	3
13	4	4
14	3	8
15	2	4
16	4	3
17	4	2
18	4	2
19	3	6
20	3	4
21	3	4
22	3	5
23	7	1
24	3	3
25	4	2
26	2	5
27	1	3
28	0	2
29	5	2
30	6	4
31	3	1
32	3	4
33	3	3
34	2	8
35	2	1
36	0	2
37	2	1
38	5	1
39	1	3
40	5	2
41	3	3
42	0	2
43	1	2
44	2	5
45	1	2
46	0	3
47	1	3
48	2	2
49	3	1
50	3	1
51	1	0
52	0	1
54	1	0
55	1	1
56	0	1
57	3	1
58	2	0
59	1	1
60	1	1
61	1	1
62	2	1
63	1	0
64	1	2
65	0	2
66	0	1
67	0	2
68	0	2
70	1	0
72	1	2
73	2	0
74	2	1
75	1	1
77	1	0
78	3	0
79	0	1
80	1	0
82	3	0
83	1	0
84	0	1
85	2	1
86	1	0
90	0	1
93	1	1
94	1	1
96	1	0
98	1	0
100	1	0
102	0	1
103	1	0
106	1	0
107	0	1
108	0	1
114	0	1
121	0	1
130	1	0
131	0	1
150	1	0
154	0	1
189	0	1
194	1	0
403	0	1
2771	1	0
