number_of_domain	frequency
1	12
2	7
3	5
4	6
5	5
6	9
7	6
8	7
9	5
10	7
12	3
13	4
14	8
15	4
16	3
17	2
18	2
19	6
20	4
21	4
22	5
23	1
24	3
25	2
26	5
27	3
28	2
29	2
30	4
31	1
32	4
33	3
34	8
35	1
36	2
37	1
38	1
39	3
40	2
41	3
42	2
43	2
44	5
45	2
46	3
47	3
48	2
49	1
50	1
52	1
55	1
56	1
57	1
59	1
60	1
61	1
62	1
64	2
65	2
66	1
67	2
68	2
72	2
74	1
75	1
79	1
84	1
85	1
90	1
93	1
94	1
102	1
107	1
108	1
114	1
121	1
131	1
154	1
189	1
403	1
